id;clientsc;clientcc;locsc;loccc;year;task;forclient;forthird;nofirm
2;ANG;540;ANG;540;1997;7;1;0;1
6;ANG;540;ANG;540;1992;7;1;0;1
7;ANG;540;ANG;540;1993;1;1;0;1
7;ANG;540;ANG;540;1994;1;1;0;2
7;ANG;540;ANG;540;1995;1;1;0;1
7;ANG;540;ANG;540;1996;1;1;0;1
7;ANG;540;ANG;540;1997;1;1;0;1
7;ANG;540;ANG;540;1998;1;1;0;1
8;ANG;540;ANG;540;1993;2;1;0;1
8;ANG;540;ANG;540;1994;2;1;0;1
8;ANG;540;ANG;540;1995;2;1;0;1
8;ANG;540;ANG;540;1996;2;1;0;1
8;ANG;540;ANG;540;1997;2;1;0;1
8;ANG;540;ANG;540;1998;2;1;0;1
10;ANG;540;ANG;540;1994;3;1;0;1
10;ANG;540;ANG;540;1995;3;1;0;1
10;ANG;540;ANG;540;1996;3;1;0;1
10;ANG;540;ANG;540;1997;3;1;0;1
11;ANG;540;ANG;540;1994;4;1;0;1
11;ANG;540;ANG;540;1995;4;1;0;1
11;ANG;540;ANG;540;1996;4;1;0;1
16;AZE;373;AZE;373;1991;2;1;0;1
16;AZE;373;AZE;373;1992;2;1;0;1
16;AZE;373;AZE;373;1993;2;1;0;1
18;COL;100;COL;100;2001;1;1;0;1
20;COL;100;COL;100;2000;2;1;0;1
20;COL;100;COL;100;2001;2;1;0;1
21;USA;2;COL;100;1991;2;0;1;1
21;USA;2;COL;100;1992;2;0;1;1
21;USA;2;COL;100;1993;2;0;1;1
21;USA;2;COL;100;1994;2;0;1;1
21;USA;2;COL;100;1995;2;0;1;1
21;USA;2;COL;100;1996;2;0;1;1
21;USA;2;COL;100;1997;2;0;1;1
21;USA;2;COL;100;1998;2;0;1;1
21;USA;2;COL;100;1999;2;0;1;1
21;USA;2;COL;100;2000;2;0;1;1
21;USA;2;COL;100;2001;2;0;1;6
21;USA;2;COL;100;2002;2;0;1;6
21;USA;2;COL;100;2003;2;0;1;6
30;CON;484;CON;484;1994;2;1;0;1
30;CON;484;CON;484;1995;2;1;0;1
30;CON;484;CON;484;1996;2;1;0;1
31;DRC;490;DRC;490;1997;5;1;0;1
31;DRC;490;DRC;490;1998;5;1;0;1
32;DRC;490;DRC;490;1998;7;1;0;2
33;CRO;344;CRO;344;1994;2;1;0;1
33;CRO;344;CRO;344;1995;2;1;0;1
33;CRO;344;CRO;344;1996;2;1;0;1
33;CRO;344;CRO;344;1997;2;1;0;1
33;CRO;344;CRO;344;1998;2;1;0;1
33;CRO;344;CRO;344;1999;2;1;0;1
33;CRO;344;CRO;344;2000;2;1;0;1
33;CRO;344;CRO;344;2001;2;1;0;1
33;CRO;344;CRO;344;2002;2;1;0;1
33;CRO;344;CRO;344;2003;2;1;0;1
38;ETH;530;ETH;530;1998;1;1;0;1
41;IRQ;645;IRQ;645;2004;2;1;0;1
41;IRQ;645;IRQ;645;2005;2;1;0;2
44;IRQ;645;IRQ;645;2004;7;1;0;3
44;IRQ;645;IRQ;645;2005;7;1;0;5
44;IRQ;645;IRQ;645;2006;7;1;0;1
44;IRQ;645;IRQ;645;2007;7;1;0;1
46;IRQ;645;IRQ;645;2004;8;1;0;2
47;LBR;450;LBR;450;1995;2;1;0;1
48;MZM;541;MZM;541;1995;2;1;0;1
52;PHI;840;PHI;840;2003;2;1;0;1
53;SIE;451;SIE;451;1995;1;1;0;3
53;SIE;451;SIE;451;1996;1;1;0;2
53;SIE;451;SIE;451;1997;1;1;0;2
53;SIE;451;SIE;451;1998;1;1;0;1
56;SIE;451;SIE;451;1995;2;1;0;3
56;SIE;451;SIE;451;1996;2;1;0;1
56;SIE;451;SIE;451;1997;2;1;0;1
56;SIE;451;SIE;451;1998;2;1;0;1
59;SIE;451;SIE;451;1997;3;1;0;1
59;SIE;451;SIE;451;1998;3;1;0;1
61;SIE;451;SIE;451;1995;4;1;0;1
61;SIE;451;SIE;451;1996;4;1;0;1
61;SIE;451;SIE;451;1997;4;1;0;1
61;SIE;451;SIE;451;1998;4;1;0;2
62;SIE;451;SIE;451;1997;5;1;0;1
62;SIE;451;SIE;451;1998;5;1;0;1
63;SIE;451;SIE;451;1995;7;1;0;1
63;SIE;451;SIE;451;1996;7;1;0;1
66;SIE;451;SIE;451;1991;7;1;0;1
67;UK;200;IRQ;645;2003;7;1;0;4
67;UK;200;IRQ;645;2004;7;1;0;5
67;UK;200;IRQ;645;2005;7;1;0;4
67;UK;200;IRQ;645;2006;7;1;0;5
67;UK;200;IRQ;645;2007;7;1;0;3
68;UN;2222;SIE;451;2000;4;1;0;2
69;UN;2222;SIE;451;1998;7;1;0;1
70;UN;2222;YUG;345;1992;7;1;0;1
70;UN;2222;YUG;345;1993;7;1;0;1
70;UN;2222;YUG;345;1994;7;1;0;1
70;UN;2222;YUG;345;1995;7;1;0;1
71;USA;2;IRQ;645;2007;2;1;0;3
72;USA;2;IRQ;645;2003;3;1;0;4
72;USA;2;IRQ;645;2004;3;1;0;10
72;USA;2;IRQ;645;2005;3;1;0;9
72;USA;2;IRQ;645;2006;3;1;0;10
72;USA;2;IRQ;645;2007;3;1;0;18
73;USA;2;IRQ;645;2003;4;1;0;3
73;USA;2;IRQ;645;2004;4;1;0;5
73;USA;2;IRQ;645;2005;4;1;0;4
73;USA;2;IRQ;645;2006;4;1;0;2
73;USA;2;IRQ;645;2007;4;1;0;6
74;USA;2;IRQ;645;2003;5;1;0;3
74;USA;2;IRQ;645;2004;5;1;0;6
74;USA;2;IRQ;645;2005;5;1;0;6
74;USA;2;IRQ;645;2006;5;1;0;7
74;USA;2;IRQ;645;2007;5;1;0;10
75;USA;2;IRQ;645;2003;7;1;0;10
75;USA;2;IRQ;645;2004;7;1;0;15
